Algorithm,Instance,Parameter,Front_Size,Total_Solutions,Best_Distance,Best_Balance,Convergence,Diversity,Time,Time_Std,Evaluations,Successful_Runs
NSGAII,Small1,Conservative,109,1200,954.4882984050049,3.0790243417500407,1079038.2149568656,1.662346700764871,0.07313127517700195,0.008915326991799097,1500,20
NSGAII,Small2,Conservative,64,1200,722.7656163678283,2.4369642210575946,865836.7520439164,0.5376841340738757,0.06874964237213135,0.002748683949380591,1500,20
NSGAII,Medium1,Conservative,124,1200,1478.9230772144504,23.696495287923188,3035443.822221722,2.4388305619294584,0.14231958389282226,0.007857772902091092,1500,20
NSGAII,Medium2,Conservative,184,1200,1410.931954808722,19.176467676063698,1857553.3587138762,1.4038661304819662,0.12696995735168456,0.01431571087683195,1500,20
NSGAII,Large1,Conservative,105,1200,31396.81326724179,290.1027565566577,68394237.06406029,40.49384745043388,0.22876501083374023,0.06577112693229495,1500,20
NSGAII,Large2,Conservative,137,1200,29037.110568407705,172.21470547507198,226831998.73601815,71.95203465559133,0.23069366216659545,0.042332665066238374,1500,20
NSGAII,Small1,Balanced,69,800,937.6960857276644,4.823580688244166,674324.4841373842,3.5203580183262004,0.07205257415771485,0.0017582884481154382,1600,20
NSGAII,Small2,Balanced,68,800,711.4278664737269,2.014743893275701,517917.2649583021,1.0401641573766338,0.07274349927902221,0.0032236966867490815,1600,20
NSGAII,Medium1,Balanced,82,800,1459.1821176831515,18.408787419031093,7504689.309695804,2.1426559411380373,0.16921570301055908,0.013088089715105757,1600,20
NSGAII,Medium2,Balanced,68,800,1382.5630391276595,13.486880383811362,754455.949662726,10.005657140946326,0.14283623695373535,0.009327522624920993,1600,20
NSGAII,Large1,Balanced,69,800,30961.02470973824,297.82615939228083,61702535.64374678,164.94185021316417,0.26502143144607543,0.05170231472389974,1600,20
NSGAII,Large2,Balanced,61,800,29027.880048411786,130.40464593984808,110908785.15764852,37.101887817112285,0.3093607544898987,0.027404611581697404,1600,20
NSGAII,Small1,Aggressive,46,500,908.0420392011764,1.6343309295440989,1676028.9396132103,3.4977293774382225,0.08873428106307983,0.0029557625421880477,2000,20
NSGAII,Small2,Aggressive,43,500,700.4179864384665,1.1933522109189225,227499.63258715512,1.1875339749277343,0.08713773488998414,0.004336674040248764,2000,20
NSGAII,Medium1,Aggressive,55,500,1437.7855045367498,13.656978687673824,5636961.88550441,320.55025084694216,0.2271915078163147,0.022180626385116274,2000,20
NSGAII,Medium2,Aggressive,50,500,1386.0411669268667,12.265713688056492,438384.22540554596,2.333928953255772,0.1801621913909912,0.007171664308837106,2000,20
NSGAII,Large1,Aggressive,40,500,31185.27063631457,244.40725368298973,32167366.85760485,39.25431031959301,0.3556556224822998,0.08710144018641135,2000,20
NSGAII,Large2,Aggressive,43,500,28808.532381904923,132.09910494152734,85083739.93641987,103.36400144231935,0.4176486849784851,0.029011787821280412,2000,20
SPEA2,Small1,Conservative,32,200,986.8256940943295,8.957593191656489,297922.3938451005,9.689198518304684,0.3495505690574646,0.012551674622365552,1500,20
SPEA2,Small2,Conservative,22,200,750.6129814397473,7.794889965473375,516894.4492385931,7.235495243859212,0.35336779356002807,0.028398382792077147,1500,20
SPEA2,Medium1,Conservative,21,200,1500.0074574143691,21.868860361463778,337255.96064951766,35.273468545440544,0.40957380533218385,0.015813794245084157,1500,20
SPEA2,Medium2,Conservative,25,200,1424.2023290584284,19.90193114628357,237225.63408011777,17.644671818446042,0.386592960357666,0.014354909695316064,1500,20
SPEA2,Large1,Conservative,36,200,31838.67980709797,248.92113712198412,22188311.70726534,208.0873317894264,0.481547474861145,0.052389355066967416,1500,20
SPEA2,Large2,Conservative,19,200,28954.447089831217,290.4385733994803,72169638.41898721,5020.323428184972,0.4639863133430481,0.017832496185545336,1500,20
SPEA2,Small1,Balanced,23,200,946.4176248589351,5.244624637205505,324414.480030534,31.607379467846286,0.35613560676574707,0.028035520198327626,1600,20
SPEA2,Small2,Balanced,14,200,769.2378078338132,4.181305760973958,25339.919849064965,9.909935893661586,0.3403725266456604,0.01059894818282232,1600,20
SPEA2,Medium1,Balanced,36,200,1495.8896309136042,14.082347728709802,1044829.7851500444,29.905385893056042,0.4125695705413818,0.003830088794127744,1600,20
SPEA2,Medium2,Balanced,18,200,1435.2370143189657,9.63737937997464,163579.40173891262,10.183765073379865,0.39520440101623533,0.00461057994398585,1600,20
SPEA2,Large1,Balanced,27,200,31464.43584103656,222.99727265504998,26412559.14526202,258.9808867862533,0.49619866609573365,0.053899975908904586,1600,20
SPEA2,Large2,Balanced,21,200,29162.513270617117,162.50586833221692,105493251.95541441,4140.5129625876425,0.4747047543525696,0.011335529926612978,1600,20
SPEA2,Small1,Aggressive,26,200,940.6001661179291,5.400871750985886,227805.9622203755,6.102069108418121,0.3875402927398682,0.002640824987824964,2000,20
SPEA2,Small2,Aggressive,14,200,706.3881785708143,2.015915087571271,55783.337760891605,5.724815609063757,0.4004385471343994,0.026256127946576262,2000,20
SPEA2,Medium1,Aggressive,31,200,1529.4426047053253,13.597340577887318,291445.77372504526,12.759926832623224,0.4798946499824524,0.003607663719552012,2000,20
SPEA2,Medium2,Aggressive,21,200,1408.5218771893244,5.116149930561458,149160.0068594928,13.925651380241773,0.45677186250686647,0.0026225169389141856,2000,20
SPEA2,Large1,Aggressive,28,200,32767.211572394786,171.5957493564108,31954541.75195527,316.9471164529957,0.5916600346565246,0.05547220716626237,2000,20
SPEA2,Large2,Aggressive,24,200,29596.8128922335,118.77314837863551,36651727.43801955,87.71313056683037,0.5680720448493958,0.012253664728554652,2000,20
