algorithm,param_set,instance,run,pareto_size,best_total_distance,best_max_route,elapsed_time,evaluations
NSGAII,1,Small,1,100,999.2899764762633,265.7447036031971,2.8529179096221924,50000
NSGAII,1,Small,2,100,1051.56343673326,250.62665139111215,2.811927080154419,50000
NSGAII,1,Small,3,100,1114.2790473740934,258.790841250522,2.9323251247406006,50000
NSGAII,1,Small,4,100,1125.104537104785,254.56689436329847,2.963594913482666,50000
NSGAII,1,Small,5,100,1104.9602192729842,248.40143658240956,2.910860061645508,50000
NSGAII,1,Small,6,100,1040.9221694992923,238.95620642434503,2.8546791076660156,50000
NSGAII,1,Small,7,100,1069.4337051582013,258.56330846033507,2.8729329109191895,50000
NSGAII,1,Small,8,100,1044.5950767087102,257.37844312528546,2.8634958267211914,50000
NSGAII,1,Small,9,100,920.4747110457854,265.7009741104653,2.8217411041259766,50000
NSGAII,1,Small,10,100,1129.1209633643634,266.57604491613813,2.8611278533935547,50000
NSGAII,1,Small,11,100,989.5560404579528,253.2611602683736,2.8010811805725098,50000
NSGAII,1,Small,12,100,1138.1528252154396,284.3709253133953,2.9112651348114014,50000
NSGAII,1,Small,13,100,1059.1209108978346,269.37217041131396,2.9173710346221924,50000
NSGAII,1,Small,14,100,1003.1584569635397,235.374506962773,2.8707540035247803,50000
NSGAII,1,Small,15,100,1059.3555772639806,250.24362467537338,2.882861852645874,50000
NSGAII,1,Small,16,100,1032.9954303953104,270.55833360701126,2.9487266540527344,50000
NSGAII,1,Small,17,100,1224.5174984559087,283.36136140163615,2.8650691509246826,50000
NSGAII,1,Small,18,100,1023.7000352466547,263.95122077107635,2.8491740226745605,50000
NSGAII,1,Small,19,71,1109.0052254979757,266.58253994959614,2.8006651401519775,50000
NSGAII,1,Small,20,100,1103.894236051908,265.3532377545637,2.920008897781372,50000
NSGAII,1,Medium,1,100,2762.997184034907,323.4504831346477,5.34150505065918,50000
NSGAII,1,Medium,2,100,2512.4279712530174,300.6981151743883,5.141226053237915,50000
NSGAII,1,Medium,3,100,2513.734756684131,292.6153346352697,5.0174720287323,50000
NSGAII,1,Medium,4,100,2728.7807599111356,310.63369413322977,5.204294919967651,50000
NSGAII,1,Medium,5,100,2608.609831294472,295.63560055139556,5.020358085632324,50000
NSGAII,1,Medium,6,100,2680.354755679035,318.94760921452104,5.136620759963989,50000
NSGAII,1,Medium,7,36,2623.9220350424325,305.3671898378635,5.088608026504517,50000
NSGAII,1,Medium,8,100,2485.4544132115298,321.27193906018294,5.055621147155762,50000
NSGAII,1,Medium,9,100,2591.5204399918916,311.26482516781715,5.648499965667725,50000
NSGAII,1,Medium,10,100,2548.231570079218,307.83632763689815,5.462990999221802,50000
NSGAII,1,Medium,11,1,2719.198470401212,317.0168553238136,5.650681972503662,50000
NSGAII,1,Medium,12,100,2706.1685474908536,322.08553891240314,5.336291074752808,50000
